얼굴형 이름,얼굴형 특징,헤어스타일 추천,헤어스타일 추천 이유
하트형(남성),이마가 넓고 아래로 갈수록 좁아지는 형태로 부드러운 인상을 주지만 이마 강조로 차가워 보일 수 있음,앞머리를 살짝 덮는 볼륨감 있는 중간 길이 헤어 스타일,이마를 가려 상단부의 넓이를 완화하고 얼굴을 전체적으로 부드럽게 조화시킬 수 있기 때문
하트형(여성),이마가 넓고 턱선이 갸름한 형태로 부드럽고 여성스러운 인상을 주나 이마가 강조될 수 있음,눈썹선을 살짝 덮는 시스루 뱅과 아래로 갈수록 볼륨을 주는 미디엄 웨이브,이마를 자연스럽게 커버하면서 턱선이 너무 뾰족해 보이지 않게 부드러운 실루엣을 형성하기 때문
장방형(남성),얼굴이 세로로 길게 늘어난 형태로 성숙하고 세련되지만 균형감이 부족할 수 있음,옆머리를 짧게 하고 윗머리에 볼륨을 준 클래식 리프컷,가로 폭을 넓혀 보여 얼굴의 긴 비율을 완화하고 균형감을 제공하기 때문
장방형(여성),세로로 길어 보이는 얼굴로 성숙한 이미지를 주지만 너무 길면 밸런스가 깨질 수 있음,옆가르마와 옆 볼륨을 살린 미디엄 레이어드 컷,옆가르마와 옆 볼륨으로 세로 길이를 완화해 부드럽고 균형 잡힌 이미지 구현
계란형(남성),이상적인 비율로 균형 잡힌 형태라 다양한 스타일이 잘 어울림, 단 개성 표현이 어려울 수 있음,깔끔한 포마드나 사이드 파트,균형 잡힌 얼굴 비율을 깔끔하고 정돈된 스타일로 더욱 세련되게 강조하기 때문
계란형(여성),전체적으로 균형 잡힌 형태로 어떤 스타일이든 무난히 어울림,부드러운 레이어드 컷이나 플랫 웨이브,다양한 스타일을 소화하고 레이어를 통해 부드럽고 여성스러운 분위기를 극대화할 수 있기 때문
원형(남성),가로세로 비율이 비슷한 둥근 형태로 어려보이고 친근하지만 입체감이 부족할 수 있음,윗머리를 세워 올린 스파이크나 크롭컷,위로 볼륨을 주어 얼굴을 길어 보이게 하고 날렵한 이미지를 형성하기 때문
원형(여성),둥근 형태로 부드럽고 친근한 인상을 주지만 얼굴이 퍼져 보일 수 있음,얼굴 옆선을 따라 자연스레 떨어지는 긴 생머리나 루즈 웨이브,세로로 시선을 분산시켜 부드러운 인상을 유지하면서도 얼굴을 갸름하게 보이게 하기 때문
각진형(남성),턱선과 광대가 도드라진 각진 형태로 남성적이고 선명한 윤곽이지만 부드러움이 부족할 수 있음,옆머리를 깔끔히 정리한 언더컷, 윗머리에 약간 볼륨,옆선을 정돈하고 시선을 위로 유도하여 각진 윤곽을 부드럽게 완화하기 때문
각진형(여성),뚜렷한 턱선으로 선명한 윤곽을 갖지만 강한 인상을 줄 수 있음,부드러운 C컬 미디엄 헤어 또는 사이드 스윕 뱅,곡선을 더해 강한 윤곽선을 부드럽게 만들고 여성스러운 이미지를 강조하기 때문
